"mqaid","tick_idx","levtype","levamount","fundBenchmark","index_name"
"46428754","SPNATEUT INDEX",1,1,"SPNATEUT","SPNAExpTechSecUT"
"46428751","SPNASEUT INDEX",1,1,"SPNASEUT","SPNExpTecSofUT"
"46428752","XSOX INDEX",1,1,"XSOX","PHLX SmCondtr Sec TR"
"46428753","SPGIIPTR INDEX",1,1,"SPGSTIIP","S&P North USA Tech MN TR"
"35802T20","SX5U INDEX",1,1,"SX5T","ESTX 50 $ NRt"
"46435U37","M1JP000V INDEX",1,1,"M1JP000V","MSCI Japan Value NTR USD"
"46428872","SPG12CIN INDEX",1,1,"SPG12CIN","SPG12INScCstJan2013FX$NR"
"46435U32","SPMDC28T INDEX",1,1,"SPMDC28T","SPAFMSCFADEC28T"
"46435U33","BGIFVSTR INDEX",1,1,"BGIFVSTR","Focused Value Select"
"31609271","FIDINVLN INDEX",1,1,"FIDINVLN","FidelityIntlValueFctrNTR"
"46435U38","M1JPEW INDEX",1,1,"M1JPEW","MSCI JAPAN EQ WTD NR"
"SPY","SPXT INDEX",1,1,"","S&P 500 Total Return"
"17326E46","DGBPFV INDEX",1,4,"DGBPFV","VS 5x Long USD vs GBP FV"
"69434K10","RU10VATR INDEX",1,1,"RU10VATR","Russell 1000 Val Idx TR"
"17326E48","UEURFV INDEX",1,4,"UEURFV","VS 5x Long EUR vs USD FV"
"46435G19","BESFTRUU INDEX",1,1,"BESFTRUU","US Corporate ESG Focus I"
"46435G16","R1DETR INDEX",1,1,"R1DETR","Russell1000PureDomExpTR"
"46435G14","IBXXLILT INDEX",1,1,"IBXXLILT","iB$LQIGLGT"
"46435G15","IBXXLIMT INDEX",1,1,"IBXXLIMT","iB$LQIGIMT"
"46435G10","BCT5TRUU INDEX",1,1,"BCT5TRUU","Cash Pay > $250mn"
"25190F40","IDCOT1TR INDEX",1,1,"IDCOT1TR","ICE U.S Trea 1 - 3 Y TR"
"76139688","REVWDIVT INDEX",1,1,"REVWDIVT","S&P900DividendRev-WgtTR"
"ISRZF","IBXXHYCT INDEX",1,1,"IBXXHYCT","USD Lq HY capped TRI"
"46435U36","NYFSAEVN INDEX",1,1,"NYFSAEVN","NYFSAEVN"
"05560G10","SOLCREW INDEX",1,1,"","Sol EW CA REIT"
"17325K52","DLBRID INDEX",1,1,"DLBRID","Janus Short LIBOR"
"33735D10","VLFVL INDEX",1,1,"VLFVL","VALUE LINE 100 INDEX"
"44044710","NYM1COIN INDEX",1,2,"","CFTC NYMEX Crude Oil Light Swe"
"06745R69","SPGSCLTR INDEX",1,1,"SPGSCLTR","S&P GSCI Crude Oil T Ret"
"33939L76","NTUCCBTR INDEX",1,1,"NTUCCBTR","NT Cred-Scored US CorpTR"
"25153Q70","MWMFTR INDEX",1,1,"MWMFTR","Mornstar Wide Moat Fc TR"
"06739H19","BCOMSNTR INDEX",1,1,"BCOMSNTR","BBG TinTR"
"39525810","CCITR INDEX",1,1,"CCITR","Cont Commodity TR Index"
"G4954710","TENGDNU INDEX",1,1,"ENGD","FTSE E/N Dev Dvd+ NR USD"
"86330E58","SPSIRETR INDEX",1,1,"SPSIRE","S&P Retail Select TR"
"86330E59","SPSIPHTR INDEX",1,1,"SPSIPHTR","S&P Pharm Select TR"
"86330E55","SPSIRBKT INDEX",1,1,"SPSIRBKT","S&PRegBankSelectIndu TR"
"86330E53","LD12TRUU INDEX",1,1,"LD12TRUU","1-3  Months"
"86330E51","LT31TRUU INDEX",1,1,"LT31TRUU","Trsy 3-10 Yr"
"46429B56","SPMUS19T INDEX",1,1,"","S&P AMT-Free Muni 2019TR"
"46429B52","M1DK5IM INDEX",1,1,"MXDK5IM","MSCI Denmark I 25-50Nt"
"46429B50","M1AIECP INDEX",1,1,"M1AIECP","MSCI ALL IRELAND CP NRU"
"46429B51","M1FI5IM INDEX",1,1,"MXFI5IM","MSCI Finland I 25-50Nt"
"46429B59","NDEUSIA INDEX",1,1,"MXIN","MSCI Emerging Markets In"
"92194679","GPVAN0TR INDEX",1,1,"GPVAN090","FTSE AlWrxUSHghDvYldNtx"
"76139610","REVWLT INDEX",1,1,"REVWLT","S&P500Rev-WgtTR"
"17324P85","MLPMP INDEX",1,1,"MLPMP","Miller/Howard MLP Fundam"
"35168070","DJTMNABT INDEX",1,1,"DJTMNABT","DJUSmkNtrlAntBeT"
"33939L50","IBXXTD3T INDEX",1,1,"IBXXTD3T","3-Year Target Duration"
"91171810","SCITR INDEX",1,1,"SCITR","SummerHaven Copper TR"
"18383M60","SPUSSOUT INDEX",1,1,"SPUSSOUT","S&P US Spin-Off TR"
"18383M62","SUNIDX INDEX",1,1,"SUNIDX","MACGlbSolarEgyTR"
"23305182","M1WDUHED INDEX",1,1,"","MSCI ACWI ex US hedge D"
"23305181","M1KRD255 INDEX",1,1,"","MSCI Korea hedge 25-50 N"
"23305187","CSIN0301 INDEX",1,1,"","CSI 300 Net Return USD"
"23305184","ISXGREV INDEX",1,1,"ISXGREV","iSTX D&EM exUS PKVNRE $N"
"23305185","M0EUHUSD INDEX",1,1,"M0EUHUSD","MSCI EURO HedgedUSD NTR"
"33735T10","SD3V INDEX",1,1,"SD3V","STXE SD 30 $ NRt"
"67110P10","FUSQVY3T INDEX",1,1,"FUSQVY3T","FTSE USA Small Cap ex"
"90264162","ANGI INDEX",1,1,"ANGI","Alerian Natural Gas MLP"
"22542D76","SPVXSTR INDEX",1,2,"SPVXSTR","S&P 500 VIX Sh-TR MCAP"
"73937B58","LDRIG05 INDEX",1,1,"LDRIG05","NASDAQ LadderRite"
"73937B59","PFLOT INDEX",1,1,"","WFHyb&PrfSecFlt&VarRt"
"73935X19","GLPEXUTR INDEX",1,1,"GLPEXUTR","Red Rocks GL Pvt  USD TR"
"73935X14","NETX INDEX",1,1,"NETX","NASDAQ Internet Total Rt"
"73935X15","DWTL INDEX",1,1,"","Dorsey Wright Tech Lead"
"73937B56","SP5LVRUT INDEX",1,1,"SP5LVRUT","SP500LoVolRateRespUSDTR"
"73937B57","RU1ELCTR INDEX",1,1,"RU1ELCTR","Russell 1000 Eql Wt TR"
"73935X10","DYITR INDEX",1,1,"DYI","Dyn Market Intellidex TR"
"06367981","SOLUSBOT INDEX",1,3,"SOLUSBOT","Sol Microsect US Oil TR"
"92193250","SPTRSGX INDEX",1,1,"SGX","S&P 500 Growth TR"
"06367983","NYFANGT INDEX",-1,1,"NYFANGT","NYSE FANG+ TR Index"
"37954Y57","AWSUSF INDEX",1,1,"AWSUSF","AWSUSF Index"
"23163L30","CTRITR INDEX",1,1,"CTRITR","Cushing TransportationTR"
"89349P30","SPSMR2 INDEX",1,1,"SPSMR2","S&P600MngdRisk20"
"97717W12","WTMFTR INDEX",1,1,"WTMFTR","WTMFTR"
"73936B10","DBCMYEEN INDEX",1,1,"DBCMYEEN","DB Commodity         DB"
"06367910","DWAMLPT INDEX",1,1,"DWAMLPT","DWA MLP Select TR Index"
"00162Q10","GRM INDEX",1,1,"GRM","C&S REALTY GLB REL MJ TR"
"06738C78","SPGSCLTR INDEX",1,1,"SPGSCLTR","S&P GSCI Crude Oil T Ret"
"06738C79","SPGSCITR INDEX",1,1,"SPGSCITR","S&P GSCI Tot Return Indx"
"18383Q83","BKNFRR INDEX",1,1,"BKNFRR","BKNFRR"
"18383Q86","ACNRET INDEX",1,1,"ACNRET","AlphaShares CHN RE TR"
"18383Q87","M1CXTSA INDEX",1,1,"M1CXTSA","MSCI ACWI  IMI Timber"
"18383Q85","ACNSCT INDEX",1,1,"ACNSCT","AlphaShares CHN SC TR"
"G4954G13","NDDUNA INDEX",1,1,"NDDUNA","MSCI Daily TR Net North"
"06739H24","BCOMPRTR INDEX",1,1,"BCOMPRTR","BBG Precious Metals TR"
"06739H27","BCOMCTTR INDEX",1,1,"BCOMCTTR","BBG Cotton TR"
"06739H26","BCOMPBTR INDEX",1,1,"BCOMPBTR","BBG LeadTR"
"06739H21","BCOMSBTR INDEX",1,1,"BCOMSBTR","BBG Sugar TR"
"06739H20","BCOMAGTR INDEX",1,1,"BCOMAGTR","BBG Agriculture TR"
"VXUS","TGPVAN17 INDEX",1,1,"TGPVAN17","FTSE GPVAN017 $ TR"
"30304R70","HARVEST INDEX",1,1,"HARVEST","PR ALT HARV GTR"
"06739H29","BCOMKCTR INDEX",1,1,"BCOMKCTR","BBG Coffee TR"
"46430D10","IBOXHY INDEX",1,1,"","Liquid High Yield"
"46434V64","RNXG INDEX",1,1,"RNXG","FTSE RNXG INDEX"
"38143043","SOLUSLEG INDEX",1,1,"SOLUSLEG","Solactive US LC EW GTR"
"38143040","GSJYNR INDEX",1,1,"GSJYNR","GS ActBet JP Eqty Idx"
"38143047","CFIIGIGB INDEX",1,1,"CFIIGIGB","Goldman Sachs IG"
"38143045","CFIIGHYB INDEX",1,1,"CFIIGHYB","Goldman Sachs HY"
"46434V31","M1WDDV INDEX",1,1,"M1WDDVR","MSCI ACWI DIVERSIFIED MU"
"46434V38","MSEXPONU INDEX",1,1,"MSEXPONU","MstarExpoTechNRUSD"
"67092P20","M2CXTNAR INDEX",1,1,"M2CXTNAR","MSCI TIAA ESGG GR USD RT"
"47804J70","JHDME INDEX",1,1,"JHDME","JH Dim Energy"
"67092P70","DJUSSTRT INDEX",1,1,"DJUSSTRT","DJUSSlctShrtTrmREITTR"
"26923G78","IVRAINT INDEX",1,1,"IVRAINT","Indxx Real Asset Inc NTR"
"26923G79","IVPCNT INDEX",1,1,"IVPCNT","Indxx Private Credit NTR"
"37950E50","NU722195 INDEX",1,1,"NU722195","CN IMI EN P 10-50 NR USD"
"74347X40","MXBR2550 INDEX",-1,2,"","MSCI Brazil 25-50 Pr USD"
"37950E54","SOLSDIV INDEX",1,1,"SOLSDIV","Solactive GBL SupDiv Ix"
"26G99Y84","SPXQHDUT INDEX",1,1,"SPXQHDUT","SP500QltyHDivTU"
"00214Q50","3DPRNT INDEX",1,1,"3DPRNT","Total 3D-Printing Index"
"87029760","ROGRAGTR INDEX",1,1,"ROGRAGTR","CQG Rogers International Commo"
"92193279","SPTRSG INDEX",1,1,"SPTRSG","S&P SC600 Growth USA TR"
"18383Q13","ACNITTR INDEX",1,1,"ACNITTR","Alphashares CH Tech  TR"
"35473P57","FTZAFN INDEX",1,1,"FTZAFN","FTSE/JSE SA RIC"
"35473P56","FTLAMN INDEX",1,1,"FTLAMN","FTSE Latin America RIC"
"35473P58","FTSAUN INDEX",1,1,"FTSAUN","FTSE Saudi Arabia RIC"
"33741L10","DWAMLV INDEX",1,1,"DWAMLV","DW Mom Plus Low Vol"
"MDJEF","SX5T INDEX",1,1,"SX5E","ESTX 50  NRt"
"46432F73","BM20TRUU INDEX",1,1,"","2020 Maturity High Quali"
"19761L30","M2CXCTA INDEX",1,1,"M2CXCTA","B/A S/E I100 GR USD"
"26922A59","SPDV5UT INDEX",1,1,"SPDV5UT","SP500 Dvd&FreeCFYldUSDTR"
"46428985","SPTGAUT INDEX",1,1,"SPTGAUT","SP Target Risk Aggressiv"
"46428984","M1PECAPD INDEX",1,1,"M1PECAPD","MSCI ALL PERU CAPPED  NR"
"46428987","SPTGMUT INDEX",1,1,"SPTGMUT","SP Target Risk Moderate"
"46428986","SPTGGUT INDEX",1,1,"SPTGGUT","SP Target Risk Growth  T"
"86330840","SEPUN INDEX",1,1,"SEPUN","S&P APac Emerg BMI NTR"
"46435G24","B15FTRUU INDEX",1,1,"B15FTRUU","US Corporate 1-5 Year ES"
"80852450","DWMT INDEX",1,1,"DWMT","DJTSM US MidTr"
"46428988","SPTGCUT INDEX",1,1,"SPTGCUT","SP Target Risk Conservat"
"G4950773","IBXXH1US INDEX",1,1,"","USD LIG Interest Rate H"
"37954Y30","SBRXRHMN INDEX",1,1,"","SB ExtDEur MBMS ERC NR"
"46577W10","SPTSEN INDEX",1,1,"SPTSEN","S&P/TSX CAPPED ENERGY IX"
"46428749","RUMCINTR INDEX",1,1,"RMC","Russell Midcap TR"
"46428748","RUMCGRTR INDEX",1,1,"RUMCGRTR","Russell Midcap Grwth TR"
"46428747","RUMCVATR INDEX",1,1,"RUMCVATR","Russell Midcap Value TR"
"46428746","NDDUEAFE INDEX",1,1,"MXEA","MSCI Daily TR Net EAFE U"
"46428745","IDCOT1TR INDEX",1,1,"IDCOT1TR","ICE U.S Trea 1 - 3 Y TR"
"46428744","IDCOT7TR INDEX",1,1,"IDCOT7TR","ICE U.S. Trea 7-10 Y TR"
"46428743","IDCOT20T INDEX",1,1,"IDCOT20T","ICE U.S. Tres 20+ Yr TR"
"LYXRF","CACR INDEX",1,1,"CAC","CAC 40 GR"
"57060U83","MVKOLTR INDEX",1,1,"MVKOLTR","MVIS Global Coal (TRN)"
"57060U82","MVBJKTR INDEX",1,1,"MVBJKTR","MVIS Global Gaming (TRN)"
"86330E84","SPTR1000 INDEX",1,1,"SPK","S&P 1000 TR"
"57060U80","LMT1TR INDEX",1,1,"LMT1TR","AMT-Free Short Continuou"
"57060U87","LMEHTR INDEX",1,1,"LMEHTR","Muni Custom HY Comp"
"57060U84","LMT2TR INDEX",1,1,"LMT2TR","AMT-Free Intermediate Co"
"57060U88","LMT3TR INDEX",1,1,"LMT3TR","AMT-Free Long Continuous"
"25459W10","IXT INDEX",1,3,"IXTTR","Technology Select Sector"
"86330884","STBMWUU2 INDEX",1,1,"STBMWUU2","SP Dev Ex-U.S. BMI < 2B"
"46429B33","LGNMTRUU INDEX",1,1,"LGNMTRUU","GNMA"
"02072L30","IMOM INDEX",1,1,"IMOM","Alpha Architecht IQMOM"
"G4954W13","MXWOHEUR INDEX",1,1,"MXWOHEUR","MSCI Wrld 100% Hdg TR EU"
"G4955M30","IBXXUSE1 INDEX",1,1,"","EUR LIG Ultrashort TRI"
"G4955M32","IBXXSIG1 INDEX",1,1,"","USD LIG 0-5 TRI"
"G4955M33","IBXXSHC1 INDEX",1,1,"","IBXXSHC1"
"ISHJF","NCUAJN INDEX",1,1,"NCUAJN","MSCI Daily TR Net Small"
"G4953W72","M1USADVD INDEX",1,1,"","MSCI USA HDY NR"
"74735F10","IBXXLLTR INDEX",1,1,"","iBoxx USD Liq Lev Loans"
"66538H53","INSP100 INDEX",1,1,"INSP100","Inspire 100 IDX"
"33737C10","IGAINT INDEX",1,1,"IGAI","Indxx Global Agri.IdxNTR"
"90268G60","DJDVP INDEX",1,2,"DJDVP","DJ SELECT DIVIDEND PR IX"
"78467V70","I00087US INDEX",1,1,"I00087US","3 Month"
"92203J40","BGRCTRUH INDEX",1,1,"","Global Agg ex-USD Float"
"25153Q65","MUTR INDEX",1,1,"MUTR","DJ HiYldSel10 TR"
"17326E64","UAUDFV INDEX",1,4,"UAUDFV","VS 5x Long AUD vs USD FV"
"86330E44","LBUSTRUU INDEX",1,1,"LBUSTRUU","U.S. Aggregate"
"86330E49","LUTLTRUU INDEX",1,1,"LUTLTRUU","Long"
"86330E48","BCIT1T INDEX",1,1,"BCIT1T","BCIT1T"
"33718M10","DJSMT INDEX",1,1,"DJSMT","DJ SelectMicroCpTR"
"33737J30","NQDXEMSC INDEX",1,1,"NQDXEMSC","NASDAQ AlphaDEX EM SC"
"35473P63","FTJPNHNN INDEX",1,1,"FTJPNHNN","FTSE JPN RIC Cap Hedg N"
"44045F10","CMDYNGER INDEX",1,2,"","Horizons ETFs Natural Gas Exce"
"35473P67","FTUKN INDEX",1,1,"FTUKN","FTSE UK RIC Capped Net"
"33939L40","MUNRT INDEX",1,1,"MUNR","MstarGlobNatResT"
"41653L40","LMBITR INDEX",1,1,"LMBITR","Municipal Bond Index"
"18383M72","ZAXMCTR INDEX",1,1,"ZAXMC","Zacks Mid Cap Core TR"
"XTR.J","SPRTCM INDEX",1,1,"SPRTCM","S&P/TSX INCOME TRUST IDX"
"25490K59","DJSHMBT INDEX",1,3,"","DJ USSelHomeConT"
"46641Q88","FTJPMETR INDEX",1,1,"FTJPMETR","Russell MidcapDivFctr TR"
"46641Q84","FTJPSE INDEX",1,1,"FTJPSE","Russell 2000 Div Fac TR"
"22542D68","SPGSGCP INDEX",1,3,"SPGSGCP","S&P GSCI Gold Excess Ret"
"22542D67","SPGSGCP INDEX",-1,3,"SPGSGCP","S&P GSCI Gold Excess Ret"
"22542D66","SPGSSIP INDEX",1,3,"SPGSSIP","S&P GSCI SILVER INDX ER"
"22542D65","SPGSSIP INDEX",-1,3,"SPGSSIP","S&P GSCI SILVER INDX ER"
"G3204T70","BCOMCLTR INDEX",1,1,"BCOMCLTR","BBG WTI Crude Oil  TR"
"73937B49","DWASEC4T INDEX",1,1,"DWASEC4T","DW Sector 4TR"
"73937B48","FDXULBET INDEX",1,1,"FDXULBET","FTSE Dev ex US Low B NT"
"G917HP36","SPTR500N INDEX",1,1,"SPTR500N","S&P 500 Net TR"
"73937B47","R1LBET INDEX",1,1,"R1LBET","Russell 1000 Low B EW TR"
"06738G40","BCOMINTR INDEX",1,1,"BCOMINTR","BBG Industrial Metals TR"
"46429B49","M1NO5IM INDEX",1,1,"M1NO5IM","MSCI Norway I 25-50 Nt"
"67110P70","OGIGXT INDEX",1,1,"OGIGXT","OShares Gl Inet Giant TR"
"46429B41","NCUDUK INDEX",1,1,"NCUDUK","MSCI Daily TR Net Small"
"46429B40","MIMUPHIN INDEX",1,1,"MXPH","MSCI Philippines IMI USD"
"46429B46","NCUDGR INDEX",1,1,"MXDESC","MSCI Daily TR Net Small"
"26922A88","VALXI INDEX",1,1,"VALXI","Validea Mkt Legends Idx"
"26922A82","LCINDX INDEX",1,1,"LCINDX","Loncar Cancer Imthpy Idx"
"33733A10","ICK INDEX",1,1,"ICK","ISE CHINDIA INDEX"
"26922A86","TFMSHIPS INDEX",1,1,"TFMSHIPS","TFMS HIPS 300 TR"
"26922A84","JETSX INDEX",1,1,"JETSX","US Global Jets Index"
"33692010","IPXUOTR INDEX",1,1,"IPXUOTR","IPOX Schuster US 100 USD"
"90270L35","SPGSCLTR INDEX",1,1,"SPGSCLTR","S&P GSCI Crude Oil T Ret"
"89349P20","SPMMR2 INDEX",1,1,"SPMMR2","S&P400MngdRisk20"
"31609230","M1US0CSI INDEX",1,1,"M1US0CSI","MSCI USA IMI/CS NR"
"98146B10","SOLGLDWE INDEX",1,1,"","Sol GLD USD"
"78468R78","SPXHDUT INDEX",1,1,"SPXHDUT","S&P500HighDividendTR"
"33738R11","NQ96DVUX INDEX",1,1,"","NASDAQ US TechDividendTR"
"33738R10","NQMAUS INDEX",1,1,"","NASDAQ US MultiAssetIncm"
"00162Q64","ZAXSGDM INDEX",1,1,"ZAXSGDM","SprottZacksGoldMiners"
"00162Q66","EDOGXNTR INDEX",1,1,"EDOGXTR","S-Net EMSectorDvdDogsNTR"
"00162Q67","AMEIX INDEX",1,1,"AMEIX","AlerianMidstreamEnSlctTR"
"46428651","GBIE1545 INDEX",1,1,"GBIE1545","J.P. Morgan Government Bond In"
"46428678","M1CXBAC INDEX",1,1,"M1CXBAC","ZA 25-50 NETR USD"
"MILN","IMILN INDEX",1,1,"IMILN","Indxx Millennials"
"06740P65","BXIITEFV INDEX",1,1,"BXIITEFV","5Y US Tsy Fut Targ Expsr"
"46434V27","M1WOUDM INDEX",1,1,"M1WOUDM","MSCI ex USA"
"46434V26","M1WOUMF INDEX",1,1,"M1WOUMF","MSCI ex USA"
"46434V29","M1USDM INDEX",1,1,"M1USDM","MSCI USA SMC"
"46434V28","M2WODV INDEX",1,1,"M2WODV","MSCI USA DIVERSIFIED MUL"
"67092P30","M2CXTNBR INDEX",1,1,"M2CXTNBR","MSCI TIAA ESGV GR USD RT"
"47804J60","JHDMTT INDEX",1,1,"JHDMT","JHDMTT"
"78468R77","R1YFFTR INDEX",1,1,"R1YFFTR","Russell 1000YldFcsdFacT"
"97717Y84","PUTR INDEX",1,1,"PUTR","CBOE Russ2K Putwrite"
"97717Y85","WTUSMFT INDEX",1,1,"WTUSMFT","WisdomTree US MultiF TR"
"37950E47","MLPAMID INDEX",1,1,"MLPAMID","Sol MLP Infrastr Index"
"37950E41","SOCL INDEX",1,1,"SOCL","Sol Social Media TR Idx"
"37950E40","NU722069 INDEX",1,1,"NU722069","CN CSR DISC 10/50 NR USD"
"37950E42","M1ANI5R INDEX",1,1,"","MSCI Al Nigeria 25-50 Nt"
"44045X10","TTENAR INDEX",1,2,"","S&P/TSX CAP ENERGY TR IX"
"G4955H16","M0EMHUSR INDEX",1,1,"M0EMHUSR","EMU Hedged NR $"
"37950E49","SOLFERT INDEX",1,1,"SOLFERT","Sol Gbl Fert/Potash Ix"
"46428675","M1CXBLV INDEX",1,1,"M1CXBLV","MSCI SE 25/50 C NR USD"
"87029750","SPBNPSP INDEX",1,1,"SPBNPSP","S&P BNP PARIBAS SPECTRUM"
"46434V10","IBXXSIG1 INDEX",1,1,"","USD LIG 0-5 TRI"
"35473P20","FLQE1INR INDEX",1,1,"FLQE1INR","FT Emerging Net USD RT"
"72202L38","RADMFENT INDEX",1,1,"RADMFENT","RAFI MF EM NTR"
"72202L36","RADMFUST INDEX",1,1,"RADMFUST","RAFI MF U.S. TR"
"72202L37","RADMFXNT INDEX",1,1,"RADMFXNT","RAFI MF Dev.ex-U.S. NTR"
"97717X70","WTEHIT INDEX",1,1,"WTEHIT","WTree EuropeHedgEquityTR"
"97717X71","CHXSOETR INDEX",1,1,"","WTChina xState-OwnEntTR"
"30304R40","PCYBER INDEX",1,1,"PCYBER","P CYBER IDX GTR"
"74255Y20","NQPRCET INDEX",1,1,"NQPRCET","Nasdaq US Prce Setter TR"
"46432F69","BM23TRUU INDEX",1,1,"","2023 Maturity High Quali"
"43437110","SPVXSP INDEX",-1,1,"","S&P 500 VIX Sh ER MCAP"
"45259A10","MSEGWETU INDEX",1,1,"MSEGWETU","MSTARWomensEmpUT"
"73936Q74","DWATLSCT INDEX",1,1,"DWATLSCT","DWATL SmallCap TR"
"73936Q76","SPBDLL INDEX",1,1,"SPBDLL","SPLSTAUSLevgLn 100"
"73936Q77","KPXTR INDEX",1,1,"KPXTR","KBW PropCsultyTR"
"73936Q71","DBLQSTHY INDEX",1,1,"","Short Maturity HY Bond"
"86330850","SCNUN INDEX",1,1,"SCNUN","S&P China BMI NTR"
"50076785","M1CXCIE INDEX",1,1,"M1CXCIE","CN IMI Env 10/40 NR USD"
"50076784","SOLCNHYC INDEX",1,1,"SOLCNHYC","SOL USD CHINA HY CORP FI"
"50076787","SOLEMCT INDEX",1,1,"SOLEMCT","Sol EM Cons Tech GTR"
"50076786","M1CXKSH INDEX",1,1,"M1CXKSH","Glb CN Infr Exps NR USD"
