Ticker,Country,Type,Underlying Index,Substitute Index,GDP Ticker,COUNTRY MARKET CAP TICKER,"TICKER Country level 
CDS spreads",10-Year Bond,2-Year Bond
EWA,Australia,MSCI EAFE Country Stocks,NDDUAS,ASX,WGDPAUST Index,WCAUUS Index,CT855561 CBIN Curncy,GACGB10 Index,GACGB2 Index
EWO,Austria,MSCI EAFE Country Stocks,M1CXBLRQ,ATX,WGDPASTI INDEX,WCAUAUSR Index,CAUT1U5 CBIN Curncy,GAGB10YR Index,GAGB2YR Index
EWK,Belgium,MSCI EAFE Country Stocks,M1CXBLRJ,BEL20,WGDPBELG INDEX,WCAUBELG Index,CBELG1U5 CBIN Curncy,GBGB10YR Index,GBGB2YR Index
EWZ,Brazil,MSCI EM Country Stocks,M1CXBLRN,IBOV,WGDPBRAZ Index,WCAUBRAZ Index,CBRZ1U5 CBIN Curncy,GEBR10Y Index,GEBR2YR Index
EWC,Canada,Country Stocks,NDDUCA,SPTSX,WGDPCANA Index,WCAUCAN Index,#N/A,GCAN10YR Index,GCAN2YR Index
ECH,Chile,MSCI EM Country Stocks,M1CXCL5I,IPSA,WGDPCHIL INDEX,WCAUCHIL Index,CCHIL1U5 CBIN Curncy,CLGB10Y Index,CLGB2Y Index
FXI,China,MSCI EM Country Stocks,TXIN0UNU,SSE50,WGDPCHIN Index,WCAUCHIN Index,CCHIN1U5 CBIN Curncy,CNHBYR10 Index,CNHBYR2 Index
EDEN,Denmark,MSCI EAFE Country Stocks,M1DK5IM,OMXC20CP,WGDPDENM INDEX,WCAUDENM Index,CDEN1U5 CBIN Curncy,GDGB10YR Index,GDGB2YR Index
EFNL,Finland,MSCI EAFE Country Stocks,M1FI5IM,HEX25,WGDPFINL INDEX,WCAUFINL Index,CFIN1U5 CMAI Curncy,GFIN10YR Index,GFIN2YR Index
EWQ,France,MSCI EAFE Country Stocks,NDDUFR,CAC,WGDPFRAN Index,WCAUFRAN Index,CFRTR1U5 CBIN Curncy,GFRN10 Index,GFRN2 Index
EWG,Germany,MSCI EAFE Country Stocks,NDDUGR,DAX,WGDPGERM Index,WCAUGERM Index,CDBR1U5 CBIN Curncy,GDBR10 Index,GDBR2 Index
EWH,Hong Kong,MSCI EAFE Country Stocks,NDDUHK,HSI,WGDPHONG INDEX,WCAUHK Index,CHKS1U5 CMAI Curncy,GHKGB10Y Index,GHKGB2Y Index
INDA,India,MSCI EM Country Stocks,NDEUSIA,NIFTY,WGDPINDI Index,WCAUINDI Index,CIGB1U5 CMAI Curncy,GIND10YR Index,GIND2YR Index
EIDO,Indonesia,MSCI EM Country Stocks,MIMUINON,JCI,WGDPINDO Index,WCAUINDO Index,CINO1U5 CBIN Curncy,GIDN10YR Index,GIDN2YR Index
EIRL,Ireland,MSCI EAFE Country Stocks,M1CXIEAC,ISEQ,WGDPIREL INDEX,WCAUIREL Index,CT777651 CBIN Curncy,GIGB10YR Index,GIGB2YR Index
EIS,Israel,MSCI EAFE Country Stocks,MISCNU,TA-35,WGDPISRA INDEX,WCAUISRA INDEX,CISR1U5 CMAI Curncy,GISR10YR Index,GISR2YR Index
EWI,Italy,MSCI EAFE Country Stocks,M1CXBLRM,FTSEMIB,WGDPITAL Index,WCAUITAL Index,CITLY1U5 CBIN Curncy,GBTPGR10 Index,GBTPGR2 Index
EWJ,Japan,MSCI EAFE Country Stocks,NDDUJN,NKY,WGDPJAPA Index,WCAUJAPA Index,CJGB1U5 CMAI Curncy,GJGB10 Index,GJGB2 Index
EWM,Malaysia,MSCI EM Country Stocks,NDDUMAF,FBM100,WGDPMALY  INDEX,WCAUMALA Index,CMLAY1U5 CBIN Curncy,MGIY10Y Index,MGIY2Y Index
EWW,Mexico,MSCI EM Country Stocks,M1CXBLRL,MEXBOL,WGDPMEXI Index,WCAUMEX Index,CMEX1U5 CBIN Curncy,GMXN10YR Index,GMXN02YR Index
EWN,Netherlands,MSCI EAFE Country Stocks,MIMUNETN,AEX,WGDPNETH INDEX,WCAUNETH Index,CT425574 CBIN Curncy,GNTH10YR Index,GNTH2YR Index
ENZL,New Zealand,MSCI EAFE Country Stocks,M1CXBLRK,NZSE50FG,WGDPNEWZ INDEX,WCAUNEWZ Index,CT778495 CMAI Curncy,GNZGB10 Index,GNZGB2 Index
NORW,Norway,MSCI EAFE Country Stocks,M1NO5IM,OSEBX,WGDPNORW  INDEX,WCAUNORW Index,CT777775 CMAI Curncy,GNOR10YR Index,GNOR2YR Index
EPHE,Philippines,MSCI EM Country Stocks,MIMUPHIN,PCOMP,WGDPPHIL  INDEX,WCAUPHIL Index,CPHIL1U5 CBIN Curncy,PDSR10YR Index,PDSR2YR Index
EPOL,Poland,MSCI EM Country Stocks,M1CXPL5I,WIG20,WGDPPOLA  INDEX,WCAUPOLA Index,CPOLD1U5 CBIN Curncy,POGB10YR Index,POGB2YR Index
PGAL,Portugal,MSCI EAFE Country Stocks,FPGALN,PSI20,WGDPPORT  INDEX,WCAUPORT Index,CPGB1U5 CBIN Curncy,GSPT10YR Index,GSPT2YR Index
