mqaid,ticker,country,blm
EWA,EWA,Australia,AUDUSD
EWO,EWO,Austria,EURUSD
46428630,EWK,Belgium,EURUSD
EWZ,EWZ,Brazil,BRLUSD
46428664,ECH,Chile,CLPUSD
46428718,FXI,China,CNYUSD
46429B67,MCHI,China,USDCNH
46429B52,EDEN,Denmark,DKKUSD
46429B51,EFNL,Finland,EURUSD
EWQ,EWQ,France,EURUSD
EWG,EWG,Germany,EURUSD
EWH,EWH,Hong Kong,HKDUSD
46429B59,INDA,India,INRUSD
46429B30,EIDO,Indonesia,IDRUSD
46429B50,EIRL,Ireland,EURUSD
46428663,EIS,Israel,ILSUSD
EWI,EWI,Italy,EURUSD
EWJ,EWJ,Japan,JPYUSD
EWM,EWM,Malaysia,MYRUSD
EWW,EWW,Mexico,MXNUSD
EWN,EWN,Netherlands,EURUSD
46428912,ENZL,New Zealand,NZDUSD
37950E74,NORW,Norway,NOKUSD
46429B40,EPHE,Philippines,PHPUSD
46429B60,EPOL,Poland,PLNUSD
37950E19,PGAL,Portugal,EURUSD
57060U50,RSX,Russia,RUBUSD
EWS,EWS,Singapore,SGPUSD
46428678,EZA,South Africa,ZARUSD
EWY,EWY,South Korea,KRWUSD
EWP,EWP,Spain,EURUSD
46428675,EWD,Sweden,SEKUSD
EWL,EWL,Switzerland,CHFUSD
EWT,EWT,Taiwan,TWDUSD
46428662,THD,Thailand,THBUSD
46428671,TUR,Turkey,TRYUSD
EWU,EWU,United Kingdom,GBPUSD
EWC,EWC,Canada,CADUSD
