Dates,sedol,mqaid,tick
"04/07/2017","B3QJ0Y5","4812A238","JLPSX"
"04/07/2017","B01R418","36665Q67","GSCIX"
"04/07/2017","B6TFDY2","83168182","SMCFX"
"04/07/2017","B0BW0X7","UBVLX","UBVLX"
"04/07/2017","B0KTT43","68397450","ODVYX"
"04/07/2017","2599904","FSRIX","FSRIX"
"04/07/2017","B3S1WF4","47804A13","JIPIX"
"04/07/2017","B3P79N2","09256H28","BSIIX"
"04/07/2017","2467960","69339188","PDIIX"
"04/07/2017","2068404","TGBAX","TGBAX"
"04/07/2017","2299549","56062X70","MHYIX"
"04/07/2017","B6Y3B81","11274030","BLRYX"
"04/07/2017","BPZPL23","81116282","SKIRX"
