Ticker,Country,Desc
WBNGITA Index,Italy,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLITAL Index,Italy,World Bank Total Gross External Debt USD
FDINITA Index,Italy,World Bank FDI Net Inflows % GDP
WRGDITAL Index,Italy,World Bank GDP Constant 2010 Prices USD
BPCGITA Index,Italy,World Bank Domestic Private Sector Credit to GDP
HELDITDS Index,Italy,World Bank Total Short Term Debt
HELDITLD Index,Italy,World Bank Total Long Term Debt
WDBAITAL Index,Italy,World Bank Banks' Debt USD
WDBTITAL Index,Italy,World Bank Gross External Debt Position
FDNOITA Index,Italy,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGITAL Index,Italy,World Bank Budget Balance % of GDP
WBEGITA Index,Italy,World Bank Export Good/Service % of GDP
WBIGITA Index,Italy,World Bank Import Good/Service % of GDP
WBPIITA Index,Italy,World Bank CPI (2010 Base 100)
EHUPITY Index,Italy,Unemployment Rate (%)
WBNGPRT Index,Portugal,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLPORT Index,Portugal,World Bank Total Gross External Debt USD
FDINPRT Index,Portugal,World Bank FDI Net Inflows % GDP
WRGDPORT Index,Portugal,World Bank GDP Constant 2010 Prices USD
BPCGPRT Index,Portugal,World Bank Domestic Private Sector Credit to GDP
HELDPTDS Index,Portugal,World Bank Total Short Term Debt
HELDPTLD Index,Portugal,World Bank Total Long Term Debt
WDBAPORT Index,Portugal,World Bank Banks' Debt USD
WDBTPORT Index,Portugal,World Bank Gross External Debt Position
FDNOPRT Index,Portugal,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGPORT Index,Portugal,World Bank Budget Balance % of GDP
WBEGPRT Index,Portugal,World Bank Export Good/Service % of GDP
WBIGPRT Index,Portugal,World Bank Import Good/Service % of GDP
WBPIPRT Index,Portugal,World Bank CPI (2010 Base 100)
EHUPPT Index,Portugal,Unemployment Rate (%)
WBNGNOR Index,Norway,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLNORW Index,Norway,World Bank Total Gross External Debt USD
FDINNOR Index,Norway,World Bank FDI Net Inflows % GDP
WRGDNORW Index,Norway,World Bank GDP Constant 2010 Prices USD
BPCGNOR Index,Norway,World Bank Domestic Private Sector Credit to GDP
HELDNODS Index,Norway,World Bank Total Short Term Debt
HELDNOLD Index,Norway,World Bank Total Long Term Debt
WDBANORW Index,Norway,World Bank Banks' Debt USD
WDBTNORW Index,Norway,World Bank Gross External Debt Position
FDNONOR Index,Norway,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGNORW Index,Norway,World Bank Budget Balance % of GDP
WBEGNOR Index,Norway,World Bank Export Good/Service % of GDP
WBIGNOR Index,Norway,World Bank Import Good/Service % of GDP
WBPINOR Index,Norway,World Bank CPI (2010 Base 100)
EHUPNO Index,Norway,Unemployment Rate (%)
WBNGBEL Index,Belgium,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLBELG Index,Belgium,World Bank Total Gross External Debt USD
FDINBEL Index,Belgium,World Bank FDI Net Inflows % GDP
WRGDBELG Index,Belgium,World Bank GDP Constant 2010 Prices USD
BPCGBEL Index,Belgium,World Bank Domestic Private Sector Credit to GDP
HELDBEDS Index,Belgium,World Bank Total Short Term Debt
HELDBELD Index,Belgium,World Bank Total Long Term Debt
WDBABELG Index,Belgium,World Bank Banks' Debt USD
WDBTBELG Index,Belgium,World Bank Gross External Debt Position
FDNOBEL Index,Belgium,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGBELG Index,Belgium,World Bank Budget Balance % of GDP
WBEGBEL Index,Belgium,World Bank Export Good/Service % of GDP
WBIGBEL Index,Belgium,World Bank Import Good/Service % of GDP
WBPIBEL Index,Belgium,World Bank CPI (2010 Base 100)
EHUPBE Index,Belgium,Unemployment Rate (%)
WBNGISR Index,Israel,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLISRA Index,Israel,World Bank Total Gross External Debt USD
FDINISR Index,Israel,World Bank FDI Net Inflows % GDP
WRGDISRA Index,Israel,World Bank GDP Constant 2010 Prices USD
BPCGISR Index,Israel,World Bank Domestic Private Sector Credit to GDP
HELDILDS Index,Israel,World Bank Total Short Term Debt
HELDILLD Index,Israel,World Bank Total Long Term Debt
WDBAISRA Index,Israel,World Bank Banks' Debt USD
WDBTISRA Index,Israel,World Bank Gross External Debt Position
FDNOISR Index,Israel,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGISRA Index,Israel,World Bank Budget Balance % of GDP
WBEGISR Index,Israel,World Bank Export Good/Service % of GDP
WBIGISR Index,Israel,World Bank Import Good/Service % of GDP
WBPIISR Index,Israel,World Bank CPI (2010 Base 100)
EHUPIL Index,Israel,Unemployment Rate (%)
WBNGSWE Index,Sweden,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLSWED Index,Sweden,World Bank Total Gross External Debt USD
FDINSWE Index,Sweden,World Bank FDI Net Inflows % GDP
WRGDSWED Index,Sweden,World Bank GDP Constant 2010 Prices USD
BPCGSWE Index,Sweden,World Bank Domestic Private Sector Credit to GDP
HELDSEDS Index,Sweden,World Bank Total Short Term Debt
HELDSELD Index,Sweden,World Bank Total Long Term Debt
WDBASWED Index,Sweden,World Bank Banks' Debt USD
WDBTSWED Index,Sweden,World Bank Gross External Debt Position
FDNOSWE Index,Sweden,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGSWED Index,Sweden,World Bank Budget Balance % of GDP
WBEGSWE Index,Sweden,World Bank Export Good/Service % of GDP
WBIGSWE Index,Sweden,World Bank Import Good/Service % of GDP
WBPISWE Index,Sweden,World Bank CPI (2010 Base 100)
EHUPSE Index,Sweden,Unemployment Rate (%)
BLTLWNZL Index,New Zealand,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLNEWZ Index,New Zealand,World Bank Total Gross External Debt USD
FDINNZL Index,New Zealand,World Bank FDI Net Inflows % GDP
WRGDNEWZ Index,New Zealand,World Bank GDP Constant 2010 Prices USD
BPCGNZL Index,New Zealand,World Bank Domestic Private Sector Credit to GDP
HELDNZDS Index,New Zealand,World Bank Total Short Term Debt
HELDNZLD Index,New Zealand,World Bank Total Long Term Debt
WBNGIRL Index,Ireland,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLIREL Index,Ireland,World Bank Total Gross External Debt USD
FDINIRL Index,Ireland,World Bank FDI Net Inflows % GDP
WRGDIREL Index,Ireland,World Bank GDP Constant 2010 Prices USD
BPCGIRL Index,Ireland,World Bank Domestic Private Sector Credit to GDP
HELDIEDS Index,Ireland,World Bank Total Short Term Debt
HELDIELD Index,Ireland,World Bank Total Long Term Debt
WDBAIREL Index,Ireland,World Bank Banks' Debt USD
WDBTIREL Index,Ireland,World Bank Gross External Debt Position
FDNOIRL Index,Ireland,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGIREL Index,Ireland,World Bank Budget Balance % of GDP
WBEGIRL Index,Ireland,World Bank Export Good/Service % of GDP
WBIGIRL Index,Ireland,World Bank Import Good/Service % of GDP
WBPIIRL Index,Ireland,World Bank CPI (2010 Base 100)
EHUPIE Index,Ireland,Unemployment Rate (%)
WBNGFIN Index,Finland,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLFINL Index,Finland,World Bank Total Gross External Debt USD
FDINFIN Index,Finland,World Bank FDI Net Inflows % GDP
WRGDFINL Index,Finland,World Bank GDP Constant 2010 Prices USD
BPCGFIN Index,Finland,World Bank Domestic Private Sector Credit to GDP
HELDFIDS Index,Finland,World Bank Total Short Term Debt
HELDFILD Index,Finland,World Bank Total Long Term Debt
WDBAFINL Index,Finland,World Bank Banks' Debt USD
WDBTFINL Index,Finland,World Bank Gross External Debt Position
FDNOFIN Index,Finland,World Bank Foreign Direct Investment Net Outflows % of GDP
WBEGFIN Index,Finland,World Bank Export Good/Service % of GDP
WBIGFIN Index,Finland,World Bank Import Good/Service % of GDP
WBPIFIN Index,Finland,World Bank CPI (2010 Base 100)
EHUPFI Index,Finland,Unemployment Rate (%)
WBNGDNK Index,Denmark,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLDENM Index,Denmark,World Bank Total Gross External Debt USD
FDINDNK Index,Denmark,World Bank FDI Net Inflows % GDP
WRGDDENM Index,Denmark,World Bank GDP Constant 2010 Prices USD
BPCGDNK Index,Denmark,World Bank Domestic Private Sector Credit to GDP
HELDDKDS Index,Denmark,World Bank Total Short Term Debt
HELDDKLD Index,Denmark,World Bank Total Long Term Debt
WDBADENM Index,Denmark,World Bank Banks' Debt USD
WDBTDENM Index,Denmark,World Bank Gross External Debt Position
FDNODNK Index,Denmark,World Bank Foreign Direct Investment Net Outflows % of GDP
WBNGAUS Index,Australia,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLAUST Index,Australia,World Bank Total Gross External Debt USD
FDINAUS Index,Australia,World Bank FDI Net Inflows % GDP
WRGDAUST Index,Australia,World Bank GDP Constant 2010 Prices USD
BPCGAUS Index,Australia,World Bank Domestic Private Sector Credit to GDP
HELDAUDS Index,Australia,World Bank Total Short Term Debt
HELDAULD Index,Australia,World Bank Total Long Term Debt
WDBAAUST Index,Australia,World Bank Banks' Debt USD
WDBTAUST Index,Australia,World Bank Gross External Debt Position
FDNOAUS Index,Australia,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGAUSL Index,Australia,World Bank Budget Balance % of GDP
WBEGAUS Index,Australia,World Bank Export Good/Service % of GDP
WBIGAUS Index,Australia,World Bank Import Good/Service % of GDP
WBPIAUS Index,Australia,World Bank CPI (2010 Base 100)
EHUPAU Index,Australia,Unemployment Rate (%)
WBNGDEU Index,Germany,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLGERM Index,Germany,World Bank Total Gross External Debt USD
FDINDEU Index,Germany,World Bank FDI Net Inflows % GDP
WRGDGERM Index,Germany,World Bank GDP Constant 2010 Prices USD
BPCGDEU Index,Germany,World Bank Domestic Private Sector Credit to GDP
HELDDEDS Index,Germany,World Bank Total Short Term Debt
HELDDELD Index,Germany,World Bank Total Long Term Debt
WDBAGERM Index,Germany,World Bank Banks' Debt USD
WDBTGERM Index,Germany,World Bank Gross External Debt Position
FDNODEU Index,Germany,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGGERM Index,Germany,World Bank Budget Balance % of GDP
WBEGDEU Index,Germany,World Bank Export Good/Service % of GDP
WBIGDEU Index,Germany,World Bank Import Good/Service % of GDP
WBPIDEU Index,Germany,World Bank CPI (2010 Base 100)
EHUPDE Index,Germany,Unemployment Rate (%)
WBNGHKG Index,Hong Kong,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLCHHK Index,Hong Kong,World Bank Total Gross External Debt USD
FDINHKG Index,Hong Kong,World Bank FDI Net Inflows % GDP
WRGDHONG Index,Hong Kong,World Bank GDP Constant 2010 Prices USD
BPCGHKG Index,Hong Kong,World Bank Domestic Private Sector Credit to GDP
HELDHKDS Index,Hong Kong,World Bank Total Short Term Debt
HELDHKLD Index,Hong Kong,World Bank Total Long Term Debt
WDBAHONG Index,Hong Kong,World Bank Banks' Debt USD
WDBTHONG Index,Hong Kong,World Bank Gross External Debt Position
FDNOHKG Index,Hong Kong,World Bank Foreign Direct Investment Net Outflows % of GDP
WBEGHKG Index,Hong Kong,World Bank Export Good/Service % of GDP
WBIGHKG Index,Hong Kong,World Bank Import Good/Service % of GDP
WBPIHKG Index,Hong Kong,World Bank CPI (2010 Base 100)
EHUPHK Index,Hong Kong,Unemployment Rate (%)
WBNGJPN Index,Japan,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLJAPA Index,Japan,World Bank Total Gross External Debt USD
FDINJPN Index,Japan,World Bank FDI Net Inflows % GDP
WRGDJAPA Index,Japan,World Bank GDP Constant 2010 Prices USD
BPCGJPN Index,Japan,World Bank Domestic Private Sector Credit to GDP
HELDJPDS Index,Japan,World Bank Total Short Term Debt
HELDJPLD Index,Japan,World Bank Total Long Term Debt
WDBAJAPA Index,Japan,World Bank Banks' Debt USD
WDBTJAPA Index,Japan,World Bank Gross External Debt Position
FDNOJPN Index,Japan,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGJAPA Index,Japan,World Bank Budget Balance % of GDP
WBEGJPN Index,Japan,World Bank Export Good/Service % of GDP
WBIGJPN Index,Japan,World Bank Import Good/Service % of GDP
WBPIJPN Index,Japan,World Bank CPI (2010 Base 100)
EHUPJP Index,Japan,Unemployment Rate (%)
WBNGCHE Index,Switzerland,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLSWIT Index,Switzerland,World Bank Total Gross External Debt USD
FDINCHE Index,Switzerland,World Bank FDI Net Inflows % GDP
WRGDSWIT Index,Switzerland,World Bank GDP Constant 2010 Prices USD
BPCGCHE Index,Switzerland,World Bank Domestic Private Sector Credit to GDP
HELDCHDS Index,Switzerland,World Bank Total Short Term Debt
HELDCHLD Index,Switzerland,World Bank Total Long Term Debt
WDBASWIT Index,Switzerland,World Bank Banks' Debt USD
WDBTSWIT Index,Switzerland,World Bank Gross External Debt Position
FDNOCHE Index,Switzerland,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGSWIT Index,Switzerland,World Bank Budget Balance % of GDP
WBEGCHE Index,Switzerland,World Bank Export Good/Service % of GDP
WBIGCHE Index,Switzerland,World Bank Import Good/Service % of GDP
WBPICHE Index,Switzerland,World Bank CPI (2010 Base 100)
EHUPCH Index,Switzerland,Unemployment Rate (%)
WBNGNLD Index,Netherlands,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLNETH Index,Netherlands,World Bank Total Gross External Debt USD
FDINNLD Index,Netherlands,World Bank FDI Net Inflows % GDP
WRGDNETH Index,Netherlands,World Bank GDP Constant 2010 Prices USD
BPCGNLD Index,Netherlands,World Bank Domestic Private Sector Credit to GDP
HELDNLDS Index,Netherlands,World Bank Total Short Term Debt
HELDNLLD Index,Netherlands,World Bank Total Long Term Debt
WDBANETH Index,Netherlands,World Bank Banks' Debt USD
WDBTNETH Index,Netherlands,World Bank Gross External Debt Position
FDNONLD Index,Netherlands,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGNETH Index,Netherlands,World Bank Budget Balance % of GDP
WBEGNLD Index,Netherlands,World Bank Export Good/Service % of GDP
WBIGNLD Index,Netherlands,World Bank Import Good/Service % of GDP
WBPINLD Index,Netherlands,World Bank CPI (2010 Base 100)
EHUPNL Index,Netherlands,Unemployment Rate (%)
WBNGAUT Index,Austria,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLASTI Index,Austria,World Bank Total Gross External Debt USD
FDINAUT Index,Austria,World Bank FDI Net Inflows % GDP
WRGDASTI Index,Austria,World Bank GDP Constant 2010 Prices USD
BPCGAUT Index,Austria,World Bank Domestic Private Sector Credit to GDP
HELDATDS Index,Austria,World Bank Total Short Term Debt
HELDATLD Index,Austria,World Bank Total Long Term Debt
WDBAASTI Index,Austria,World Bank Banks' Debt USD
WDBTASTI Index,Austria,World Bank Gross External Debt Position
FDNOAUT Index,Austria,World Bank Foreign Direct Investment Net Outflows % of GDP
WBEGAUT Index,Austria,World Bank Export Good/Service % of GDP
WBIGAUT Index,Austria,World Bank Import Good/Service % of GDP
WBPIAUT Index,Austria,World Bank CPI (2010 Base 100)
EHUPAT Index,Austria,Unemployment Rate (%)
WBNGESP Index,Spain,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLSPAI Index,Spain,World Bank Total Gross External Debt USD
FDINESP Index,Spain,World Bank FDI Net Inflows % GDP
WRGDSPAI Index,Spain,World Bank GDP Constant 2010 Prices USD
BPCGESP Index,Spain,World Bank Domestic Private Sector Credit to GDP
HELDESDS Index,Spain,World Bank Total Short Term Debt
HELDESLD Index,Spain,World Bank Total Long Term Debt
WDBASPAI Index,Spain,World Bank Banks' Debt USD
WDBTSPAI Index,Spain,World Bank Gross External Debt Position
FDNOESP Index,Spain,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGSPAI Index,Spain,World Bank Budget Balance % of GDP
WBEGESP Index,Spain,World Bank Export Good/Service % of GDP
WBIGESP Index,Spain,World Bank Import Good/Service % of GDP
WBPIESP Index,Spain,World Bank CPI (2010 Base 100)
EHUPES Index,Spain,Unemployment Rate (%)
WBNGFRA Index,France,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLFRAN Index,France,World Bank Total Gross External Debt USD
FDINFRA Index,France,World Bank FDI Net Inflows % GDP
WRGDFRAN Index,France,World Bank GDP Constant 2010 Prices USD
BPCGFRA Index,France,World Bank Domestic Private Sector Credit to GDP
HELDFRDS Index,France,World Bank Total Short Term Debt
HELDFRLD Index,France,World Bank Total Long Term Debt
WDBAFRAN Index,France,World Bank Banks' Debt USD
WDBTFRAN Index,France,World Bank Gross External Debt Position
FDNOFRA Index,France,World Bank Foreign Direct Investment Net Outflows % of GDP
