date,mqaid,ticker,mgmtfees,expense_ratio,bid_ask_spread_pct,create_redeem_fee,create_redeem_size,etf_implied_liquidity,fund_pct_premium,currency_hedged_indicator,derivatives_based,securities_lending,fund_incept_dt,create_redeem_process,creation_cutoff_time,settlement_cycle,rebalancing_frequency,replication_strategy,fund_port_dt,total_number_of_holdings_in_port,nav_pricing_methodology,fund_avg_dvd_yld,fund_pe_ratio,fund_pricing_source,avgvolume_6M,etf_name,duration
01/31/2020,03210887,XBUY US Equity,0.690,0.690,0.2246,750.0000,50000.0000,660840.0000,-0.4725,N,N,N,01/29/2019,In-kind,17:30 EST,T+2,Quarterly,Full,01/30/2020,55.0000,Primary Market Close,0.3726,133.4866,FMR Co Inc,455.84375,AMPLIFY INTL ONLINE RETAIL,
01/31/2020,46428754,IGM US Equity,0.470,0.460,0.0361,650.0000,50000.0000,21438272.0000,0.0597,N,N,Y,03/19/2001,In-kind,16:00 est,T+2,Quarterly,Full,01/30/2020,304.0000,Primary Market Close,0.8041,34.4672,State Street Bank and Trust Co,34073.140625,ISHARES EXPANDED TECH SECTOR,
01/31/2020,46139W88,IMFD US Equity,0.120,0.120,0.2919,400.0000,100000.0000,3296583.0000,0.0243,N,N,N,12/06/2018,In-kind/Cash,16:00 EST,T+2,Monthly,Optimized,01/30/2020,193.0000,Primary Market Close,3.9812,17.0572,State Street Bank and Trust Co,201.46875,INVESCO MULTI-FACTOR DEFENSI,
01/31/2020,46428751,IGV US Equity,0.471,0.460,0.0292,250.0000,50000.0000,3101454.0000,-0.0040,N,N,Y,07/13/2001,In-kind,16:00 est,T+2,Quarterly,Full,01/30/2020,104.0000,Primary Market Close,0.5190,65.8504,State Street Bank and Trust Co,604363.5,ISHARES EXPANDED TECH-SOFTWA,
01/31/2020,46428752,SOXX US Equity,0.470,0.460,0.0412,250.0000,50000.0000,4123269.0000,0.0453,N,N,Y,07/13/2001,In-kind,16:00 est,T+2,Quarterly,Full,01/30/2020,31.0000,Primary Market Close,1.5569,29.8184,State Street Bank and Trust Co,492281.8125,ISHARES PHLX SEMICONDUCTOR E,
01/31/2020,46428753,IGN US Equity,0.470,0.460,0.0964,250.0000,50000.0000,1023955.0000,-0.0327,N,N,Y,07/13/2001,In-kind,16:00 est,T+2,Quarterly,Full,01/30/2020,23.0000,Primary Market Close,0.8474,29.8184,State Street Bank and Trust Co,25548.9921875,ISHARES NORTH AMERICAN TECH-,
01/31/2020,35802T20,FEZ US Equity,0.290,0.290,0.0255,1500.0000,50000.0000,47527158.0000,-0.2543,N,N,Y,10/21/2002,In-kind,16:00 EST,T+2,Quarterly,Full,01/31/2020,53.0000,Primary Market Close,3.3743,17.4355,State Street Bank and Trust Co,2406116.75,SPDR EURO STOXX 50 ETF,
01/31/2020,46435U37,EWJV US Equity,0.150,0.150,0.1781,2150.0000,100000.0000,21656665.0000,-1.5478,N,N,Y,03/07/2019,In-kind/Cash,16:00 EST,T+2,Semi-Annually,Optimized,01/30/2020,178.0000,Primary Market Close,3.3127,11.7480,State Street Bank and Trust Co,2421.0390625,ISHARES MSCI JAPAN VALUE ETF,
01/31/2020,46428872,EXI US Equity,0.470,0.460,0.2219,2200.0000,50000.0000,14780704.0000,-0.5583,N,N,Y,09/21/2006,In-kind,16:00 est,T+2,Quarterly,Optimized,01/30/2020,199.0000,Primary Market Close,2.1899,20.9710,State Street Bank and Trust Co,24544.453125,ISHARES GLOBAL INDUSTRIALS E,
01/31/2020,46435U32,IBMQ US Equity,0.180,0.180,0.1583,300.0000,50000.0000,824120.0000,0.1869,N,N,Y,04/18/2019,In-kind/Cash,16:00 EST,T+2,Monthly,Optimized,01/30/2020,283.0000,Primary Market Close,1.6737,11.7480,State Street Bank and Trust Co,11433.5390625,ISHARES IBONDS DEC 2028 MUNI,
01/31/2020,46435U33,FOVL US Equity,0.250,0.250,0.1233,150.0000,50000.0000,1738812.0000,-0.0593,N,N,Y,03/19/2019,In-kind/Cash,16:00 EST,T+2,Monthly,Full,01/30/2020,41.0000,Primary Market Close,3.0966,12.5574,State Street Bank and Trust Co,443.1015625,ISHARES FOCUSED VALUE FACTOR,
01/31/2020,31609271,FIVA US Equity,0.390,0.390,0.8020,750.0000,100000.0000,13010168.0000,-0.8299,N,N,Y,01/18/2018,In-kind,16:00 EST,T+2,Semi-Annually,Full,01/30/2020,117.0000,Primary Market Close,4.5789,12.4280,FMR Co Inc,4296.2421875,FIDELITY INTL VAL FACTOR ETF,
01/31/2020,46435U38,EWJE US Equity,0.150,0.150,0.1511,3900.0000,100000.0000,8637293.0000,-2.1497,N,N,Y,03/07/2019,In-kind/Cash,16:00 EST,T+2,Semi-Annually,Optimized,01/30/2020,319.0000,Primary Market Close,2.3110,16.2653,NYSE Arca LLC,439.2890625,ISHARES MSCI JAPAN EQL WGHT,
01/31/2020,68386C68,OMOM US Equity,0.190,0.190,0.7307,1200.0000,50000.0000,483306869.0000,0.0007,N,N,Y,11/08/2017,In-kind/Cash,16:00 EST,T+2,Semi-Annually,Full,01/30/2020,609.0000,Primary Market Close,1.4912,26.1858,Bank of New York Mellon/The,366.0078125,INVESCO RUSSELL 1000 MTM ETF,
01/31/2020,13206160,GAA US Equity,0.000,0.250,0.5269,500.0000,50000.0000,585844.0000,-0.8029,N,N,N,12/10/2014,In-kind/Cash,16:00 EST,T+3,Yearly,Full,01/30/2020,24.0000,Primary Market Close,1.7943,16.2865,SEI Investments Global Funds S,8937.9375,CAMBRIA GLOBAL ASSET ALLOCAT,
01/31/2020,17326E46,DGBP US Equity,0,1.500,0.3498,9.0000,25000.0000,193.0000,-1.8932,N,Y,N,12/12/2017,Cash,16:00 EST,T+3,Daily,Full,01/30/2020,150.0000,Fair Value,2.0742,19.8870,State Street Bank and Trust Co,1241.171875,VELOCITYSHARES DAILY 4X LONG,
01/31/2020,68386C69,OSIZ US Equity,0.190,0.190,0.1573,1300.0000,50000.0000,45152815.0000,0.0183,N,N,Y,11/08/2017,In-kind/Cash,16:00 EST,T+2,Yearly,Full,01/30/2020,652.0000,Primary Market Close,1.7974,35.9540,Bank of New York Mellon/The,978.375,INVESCO RUSSELL 1000 SIZE,
01/31/2020,69434K10,USDY US Equity,0.290,0.290,0.4710,500.0000,50000.0000,37612165.0000,0.1177,N,N,Y,02/12/2019,In-kind,16:00 EST,T+2,Quarterly,Full,01/30/2020,369.0000,Primary Market Close,3.3590,19.8347,State Street Bank and Trust Co,153.109375,PACIFIC GLOBAL US EQUITY INC,
01/31/2020,33739P50,RFAP US Equity,0.830,0.830,0.4985,2100.0000,50000.0000,585844.0000,-0.1708,Y,Y,N,04/14/2016,In-kind/Cash,Unknown,T+3,Unknown,Not Applicable,01/30/2020,176.0000,Primary Market Close,3.3470,14.9063,Brown Brothers Harriman & Co,2110.0703125,FIRST TRUST DYNAMIC APAC ETF,
01/31/2020,G8T03D21,SSHXF US Equity,0.300,0.300,0.0421,250.0000,12500.0000,3220352.0000,0.0886,N,N,Y,06/19/2006,In-kind/Cash,Unknown,T+2,Quarterly,Full,01/31/2020,41.0000,Primary Market Close,2.6341,30.4883,JP Morgan Investment Managemen,4989479.5,SPDR EUROPE HEALTH CARE,
01/31/2020,30605Q10,FZB US Equity,0.870,0.870,0.0421,250.0000,50000.0000,3220352.0000,-2.4398,N,N,Unknown,12/15/2009,Unknown,Unknown,Unknown,Unknown,Unknown,01/31/2020,41.0000,Unknown,1.6112,17.7225,NYSE Arca LLC,4989479.5,FAITHSHARES BAPTIST VALUES F,
01/31/2020,30072310,EIS1 US Equity,0,0,0.0421,250.0000,50000.0000,3220352.0000,-2.4398,N,N,Unknown,12/15/2009,Unknown,Unknown,Unknown,Unknown,Unknown,01/31/2020,41.0000,Unknown,1.6112,17.7225,NYSE Arca LLC,4989479.5,FAITHSHARES BAPTIST VALUES F,
01/31/2020,17326E48,UEUR US Equity,0,1.500,0.1155,9.0000,25000.0000,522201.0000,1.1699,N,Y,N,12/12/2017,Cash,16:00 EST,T+3,Daily,Full,01/30/2020,34.0000,Fair Value,1.9126,30.8300,State Street Bank and Trust Co,4315.0234375,VELOCITYSHARES DAILY 4X LONG,
01/31/2020,34416W30,MYP US Equity,0,0,0.0777,250.0000,50000.0000,1086376.0000,-0.0142,N,N,Y,05/05/2006,In-kind,16:00 est,T+2,Quarterly,Full,01/30/2020,26.0000,Primary Market Close,2.0533,16.3704,State Street Bank and Trust Co,26325.3359375,CITIGROUP FUND INC-NOTES,
01/31/2020,74347R52,UVG US Equity,0.750,0.950,0.4985,3055.0000,50000.0000,585844.0000,-1.3760,N,Y,N,02/22/2007,In-kind/Cash,15:30 est,T+3,Daily,Derivative,01/30/2020,696.0000,Primary Market Close,1.0750,14.9063,NYSE Arca LLC,2110.0703125,PROSHARES ULTRA RUS 1000 VAL,
01/31/2020,46435G19,SUSC US Equity,0.180,0.180,0.3064,150.0000,50000.0000,269398.0000,0.3519,N,N,Y,07/13/2017,In-kind,16:00 EST,T+2,Monthly,Optimized,01/30/2020,2339.0000,Primary Market Close,0.7861,16.3704,State Street Bank and Trust Co,34759.671875,ISHARES ESG USD CORPORATE BO,8.2293302869
01/31/2020,46435G16,AMCA US Equity,0.150,0.150,0.2226,1200.0000,50000.0000,181214996.0000,-0.0146,N,N,Y,08/08/2017,In-kind/Cash,16:00 EST,T+2,Yearly,Full,01/30/2020,418.0000,Primary Market Close,2.3661,22.2697,State Street Bank and Trust Co,3546.4921875,ISHARES RUSSELL 1000 US REV,
01/31/2020,73936B20,DBP US Equity,0.750,0.780,0.1594,500.0000,200000.0000,8342781.0000,0.1046,N,Y,N,01/05/2007,Cash,10:00 EST,T+1,Unknown,Derivative,01/31/2020,6.0000,Primary Market Close,2.1417,14.8086,Bank of New York Mellon/The,38059.6171875,INVESCO DB PRECIOUS METALS F,
01/31/2020,46435G14,LLQD US Equity,0.060,0.060,0.2226,225.0000,50000.0000,181214996.0000,-0.1845,N,N,Y,09/14/2017,In-kind,16:00 EST,T+2,Monthly,Optimized,01/15/2019,49.0000,Primary Market Close,2.3661,22.2697,State Street Bank and Trust Co,3546.4921875,ISHARES 10+ YEAR INVESTMENT,
01/31/2020,46435G15,MLQD US Equity,0.060,0.060,0.2226,275.0000,50000.0000,181214996.0000,-0.1537,N,N,Y,09/14/2017,In-kind/Cash,16:00 EST,T+2,Monthly,Optimized,08/20/2019,4.0000,Primary Market Close,2.3661,22.2697,State Street Bank and Trust Co,3546.4921875,ISHARES 5-10 YEAR INVESTMENT,
01/31/2020,46435G10,ICVT US Equity,0.200,0.200,0.1569,475.0000,50000.0000,181214996.0000,0.2022,N,N,Y,06/04/2015,In-kind/Cash,16:00 EST,T+2,Monthly,Optimized,01/30/2020,237.0000,Primary Market Close,2.3661,22.2697,State Street Bank and Trust Co,55389.2109375,ISHARES CONVERTIBLE BOND ETF,
01/31/2020,KYT, US Equity,0,0,0.1569,475.0000,50000.0000,181214996.0000,0.2022,N,N,Y,06/04/2015,In-kind/Cash,16:00 EST,T+2,Monthly,Optimized,01/30/2020,237.0000,Primary Market Close,2.3661,22.2697,State Street Bank and Trust Co,55389.2109375,ISHARES CONVERTIBLE BOND ETF,
01/31/2020,G7110H12,PMMDF US Equity,0.350,0.350,0.1569,475.0000,9898.0000,181214996.0000,0.2022,N,N,N,06/04/2015,Cash,16:00 GMT,T+2,Not Applicable,Not Applicable,01/30/2020,581.0000,Primary Market Close,2.3661,22.2697,State Street Bank and Trust Co,15.7734375,PIMCO US DOLLAR SHORT MATURI,
01/31/2020,71542610,AAAU US Equity,0.180,0.180,0.0641,500.0000,50000.0000,181214996.0000,0.1895,N,N,N,08/15/2018,In-kind,16:00 EST,T+2,Unknown,Not Applicable,01/30/2020,581.0000,Primary Market Close,2.3661,22.2697,State Street Bank and Trust Co,82009.984375,PERTH MINT PHYSICAL GOLD ETF,
01/31/2020,25154W70,ITLY US Equity,0.500,0.500,0.0165,0.0000,50000.0000,3630971.0000,-0.0862,N,Y,N,03/22/2011,Cash,16:00 EST,T+3,Not Applicable,Derivative,01/31/2020,120.0000,Primary Market Close,2.9627,21.9938,NYSE Arca LLC,525743.75,POWERSHARES DB ITALIAN TR BD,
