date,ticker,value,country,desc
12/31/1981,WRGDSWED Index,259.31,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1991,WRGDSWED Index,317.05,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1994,WRGDSWED Index,319.09,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2005,WRGDSWED Index,451.31,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1990,WRGDSWED Index,320.73,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2010,WRGDSWED Index,495.33,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2006,WRGDSWED Index,472.08,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1984,WRGDSWED Index,278.85,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1970,WRGDSWED Index,212.62,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1995,WRGDSWED Index,331.85,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1980,WRGDSWED Index,258.13,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1977,WRGDSWED Index,240.22,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1983,WRGDSWED Index,267.54,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2000,WRGDSWED Index,396.53,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1969,WRGDSWED Index,199.69,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1986,WRGDSWED Index,292.54,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1996,WRGDSWED Index,337.21,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1982,WRGDSWED Index,262.55,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1975,WRGDSWED Index,241.57,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2016,WRGDSWED Index,563.4,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2002,WRGDSWED Index,411.19,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1993,WRGDSWED Index,306.9,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1998,WRGDSWED Index,362.48,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1976,WRGDSWED Index,244.12,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2009,WRGDSWED Index,466.46,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2013,WRGDSWED Index,512.74,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1972,WRGDSWED Index,219.54,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2015,WRGDSWED Index,550.12,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2001,WRGDSWED Index,402.35,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2018,WRGDSWED Index,589.82,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1979,WRGDSWED Index,253.82,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2012,WRGDSWED Index,507.23,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1997,WRGDSWED Index,347.66,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2007,WRGDSWED Index,488.28,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1992,WRGDSWED Index,313.38,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1971,WRGDSWED Index,214.63,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1988,WRGDSWED Index,310.09,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2017,WRGDSWED Index,576.98,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2008,WRGDSWED Index,487.09,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2004,WRGDSWED Index,438.61,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1973,WRGDSWED Index,228.25,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1987,WRGDSWED Index,302.35,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2014,WRGDSWED Index,526.83,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2011,WRGDSWED Index,510.45,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1985,WRGDSWED Index,284.88,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1978,WRGDSWED Index,244.43,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2003,WRGDSWED Index,420.42,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1989,WRGDSWED Index,318.32,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1974,WRGDSWED Index,235.55,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/1999,WRGDSWED Index,378.1,Sweden,World Bank GDP Constant 2010 Prices USD
12/31/2012,HELDCHLD Index,630194.2,Switzerland,World Bank Total Long Term Debt
12/31/2013,HELDCHLD Index,612871.9,Switzerland,World Bank Total Long Term Debt
12/31/2008,HELDCHLD Index,444156.5,Switzerland,World Bank Total Long Term Debt
12/31/2009,HELDCHLD Index,481106.4,Switzerland,World Bank Total Long Term Debt
12/31/2019,HELDCHLD Index,859811,Switzerland,World Bank Total Long Term Debt
12/31/2004,HELDCHLD Index,268510.3,Switzerland,World Bank Total Long Term Debt
12/31/2005,HELDCHLD Index,281117.4,Switzerland,World Bank Total Long Term Debt
12/31/2015,HELDCHLD Index,672406.9,Switzerland,World Bank Total Long Term Debt
12/31/2000,HELDCHLD Index,143406,Switzerland,World Bank Total Long Term Debt
12/31/2001,HELDCHLD Index,138761.9,Switzerland,World Bank Total Long Term Debt
12/31/2018,HELDCHLD Index,834543,Switzerland,World Bank Total Long Term Debt
12/31/2011,HELDCHLD Index,553492.8,Switzerland,World Bank Total Long Term Debt
12/31/2014,HELDCHLD Index,688459,Switzerland,World Bank Total Long Term Debt
12/31/2007,HELDCHLD Index,445159,Switzerland,World Bank Total Long Term Debt
12/31/2010,HELDCHLD Index,537566.1,Switzerland,World Bank Total Long Term Debt
12/31/2003,HELDCHLD Index,231788.8,Switzerland,World Bank Total Long Term Debt
12/31/2006,HELDCHLD Index,383124.2,Switzerland,World Bank Total Long Term Debt
12/31/1999,HELDCHLD Index,138920.4,Switzerland,World Bank Total Long Term Debt
12/31/2016,HELDCHLD Index,700532.1,Switzerland,World Bank Total Long Term Debt
12/31/2017,HELDCHLD Index,824495,Switzerland,World Bank Total Long Term Debt
12/31/2002,HELDCHLD Index,206741.1,Switzerland,World Bank Total Long Term Debt
12/31/2012,WBNGKOR Index,0.6,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2013,WBNGKOR Index,0.6,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/1998,WBNGKOR Index,7.4,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2008,WBNGKOR Index,0.6,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2009,WBNGKOR Index,0.6,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2004,WBNGKOR Index,1.9,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2005,WBNGKOR Index,1.2,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2015,WBNGKOR Index,0.5,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2000,WBNGKOR Index,8.9,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2001,WBNGKOR Index,3.4,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2011,WBNGKOR Index,0.5,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/1997,WBNGKOR Index,5.8,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2014,WBNGKOR Index,0.5,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2007,WBNGKOR Index,0.7,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2010,WBNGKOR Index,0.6,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2003,WBNGKOR Index,2.6,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2006,WBNGKOR Index,0.8,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/1999,WBNGKOR Index,8.3,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2016,WBNGKOR Index,0.5,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2017,WBNGKOR Index,0.4,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2002,WBNGKOR Index,2.4,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
12/31/2008,WDBTAUST Index,852262,Australia,World Bank Gross External Debt Position
12/31/2004,WDBTAUST Index,506061.781,Australia,World Bank Gross External Debt Position
12/31/2005,WDBTAUST Index,532343.375,Australia,World Bank Gross External Debt Position
12/31/2007,WDBTAUST Index,791929,Australia,World Bank Gross External Debt Position
12/31/2003,WDBTAUST Index,419005.5,Australia,World Bank Gross External Debt Position
12/31/2006,WDBTAUST Index,639634,Australia,World Bank Gross External Debt Position
12/31/1981,WBEGTHA Index,23.85,Thailand,World Bank Export Good/Service % of GDP
12/31/1991,WBEGTHA Index,35.96,Thailand,World Bank Export Good/Service % of GDP
12/31/1994,WBEGTHA Index,38.24,Thailand,World Bank Export Good/Service % of GDP
12/31/2005,WBEGTHA Index,68.4,Thailand,World Bank Export Good/Service % of GDP
12/31/1990,WBEGTHA Index,34.13,Thailand,World Bank Export Good/Service % of GDP
12/31/2010,WBEGTHA Index,66.49,Thailand,World Bank Export Good/Service % of GDP
12/31/2006,WBEGTHA Index,68.68,Thailand,World Bank Export Good/Service % of GDP
12/31/1984,WBEGTHA Index,21.9,Thailand,World Bank Export Good/Service % of GDP
12/31/1970,WBEGTHA Index,15.02,Thailand,World Bank Export Good/Service % of GDP
12/31/1995,WBEGTHA Index,41.53,Thailand,World Bank Export Good/Service % of GDP
12/31/1980,WBEGTHA Index,24.11,Thailand,World Bank Export Good/Service % of GDP
12/31/1977,WBEGTHA Index,19.96,Thailand,World Bank Export Good/Service % of GDP
12/31/1983,WBEGTHA Index,20.11,Thailand,World Bank Export Good/Service % of GDP
12/31/2000,WBEGTHA Index,64.84,Thailand,World Bank Export Good/Service % of GDP
12/31/1969,WBEGTHA Index,16.06,Thailand,World Bank Export Good/Service % of GDP
12/31/1986,WBEGTHA Index,25.6,Thailand,World Bank Export Good/Service % of GDP
12/31/1996,WBEGTHA Index,39.02,Thailand,World Bank Export Good/Service % of GDP
12/31/1982,WBEGTHA Index,22.92,Thailand,World Bank Export Good/Service % of GDP
12/31/1975,WBEGTHA Index,18.36,Thailand,World Bank Export Good/Service % of GDP
12/31/2016,WBEGTHA Index,68.39,Thailand,World Bank Export Good/Service % of GDP
12/31/2002,WBEGTHA Index,60.65,Thailand,World Bank Export Good/Service % of GDP
12/31/1993,WBEGTHA Index,36.82,Thailand,World Bank Export Good/Service % of GDP
12/31/1998,WBEGTHA Index,57.94,Thailand,World Bank Export Good/Service % of GDP
12/31/1976,WBEGTHA Index,20.24,Thailand,World Bank Export Good/Service % of GDP
12/31/2009,WBEGTHA Index,64.44,Thailand,World Bank Export Good/Service % of GDP
12/31/2013,WBEGTHA Index,68.12,Thailand,World Bank Export Good/Service % of GDP
12/31/1972,WBEGTHA Index,18.19,Thailand,World Bank Export Good/Service % of GDP
12/31/2015,WBEGTHA Index,68.72,Thailand,World Bank Export Good/Service % of GDP
12/31/2001,WBEGTHA Index,63.25,Thailand,World Bank Export Good/Service % of GDP
12/31/2018,WBEGTHA Index,66.82,Thailand,World Bank Export Good/Service % of GDP
12/31/1979,WBEGTHA Index,22.57,Thailand,World Bank Export Good/Service % of GDP
12/31/2012,WBEGTHA Index,69.76,Thailand,World Bank Export Good/Service % of GDP
12/31/1997,WBEGTHA Index,48.24,Thailand,World Bank Export Good/Service % of GDP
12/31/2007,WBEGTHA Index,68.87,Thailand,World Bank Export Good/Service % of GDP
12/31/1992,WBEGTHA Index,36.97,Thailand,World Bank Export Good/Service % of GDP
12/31/1971,WBEGTHA Index,15.99,Thailand,World Bank Export Good/Service % of GDP
12/31/1988,WBEGTHA Index,33.01,Thailand,World Bank Export Good/Service % of GDP
12/31/2017,WBEGTHA Index,68.18,Thailand,World Bank Export Good/Service % of GDP
12/31/2008,WBEGTHA Index,71.42,Thailand,World Bank Export Good/Service % of GDP
12/31/2004,WBEGTHA Index,65.97,Thailand,World Bank Export Good/Service % of GDP
12/31/1973,WBEGTHA Index,18.6,Thailand,World Bank Export Good/Service % of GDP
12/31/1987,WBEGTHA Index,28.89,Thailand,World Bank Export Good/Service % of GDP
